incident_rate_per_100k,city,season,year
218.72188806378213,Cache County,Fall,2011
294.4738240649585,Cache County,Fall,2012
2.588549980585875,Cache County,Fall,2013
5.981627857295449,Cache County,Fall,2014
2.544658761260115,Cache County,Fall,2015
31.746827405866483,Cache County,Fall,2016
13.093182543514375,Cache County,Fall,2017
9.659036028204385,Cache County,Fall,2018
278.7917860970021,Cache County,Spring,2012
153.58729884809526,Cache County,Spring,2013
0.8545182653279214,Cache County,Spring,2014
38.169881418901724,Cache County,Spring,2015
177.9493220381463,Cache County,Spring,2016
22.537750732476898,Cache County,Spring,2018
0.7911392405063291,Cache County,Spring,2019
365.91421925231526,Cache County,Summer,2012
10.3541999223435,Cache County,Summer,2013
3.4180730613116856,Cache County,Summer,2014
2.544658761260115,Cache County,Summer,2015
89.39238243230825,Cache County,Summer,2016
3.273295635878594,Cache County,Summer,2017
16.098393380340642,Cache County,Summer,2018
60.85407369516519,Cache County,Winter,2011
241.32913984021747,Cache County,Winter,2012
163.94149877043876,Cache County,Winter,2013
39.30784020508438,Cache County,Winter,2014
104.33100921166472,Cache County,Winter,2015
53.468340894090915,Cache County,Winter,2016
36.82457590363418,Cache County,Winter,2017
69.22309153546476,Cache County,Winter,2018
2.373417721518987,Cache County,Winter,2019
8515.881708652794,Clinton,Fall,2018
9.408222786715589,Clinton,Spring,2016
6261.409273457466,Clinton,Spring,2018
3658.153418016967,Clinton,Spring,2019
9.408222786715589,Clinton,Summer,2016
8890.105878057686,Clinton,Summer,2018
994.0080821217892,Clinton,Winter,2017
6416.575392479007,Clinton,Winter,2018
4187.800170564208,Clinton,Winter,2019
5250.266909501978,Lehi,Fall,2010
5306.207182893918,Lehi,Fall,2011
3293.274553616362,Lehi,Fall,2012
3676.170088547241,Lehi,Fall,2013
4505.4366570458715,Lehi,Fall,2014
4792.982456140351,Lehi,Fall,2015
5142.799064945624,Lehi,Fall,2016
3047.495542227265,Lehi,Fall,2017
1521.814241291579,Lehi,Fall,2018
5836.421109924847,Lehi,Spring,2010
5268.839526676355,Lehi,Spring,2011
3194.6373573283413,Lehi,Spring,2012
3413.447504135448,Lehi,Spring,2013
3390.876581531703,Lehi,Spring,2014
2717.5438596491226,Lehi,Spring,2015
5088.593014195209,Lehi,Spring,2016
4050.899659588264,Lehi,Spring,2017
4293.746270063134,Lehi,Spring,2018
6100.190500115137,Lehi,Summer,2010
4729.084492422669,Lehi,Summer,2011
3573.0821104333995,Lehi,Summer,2012
3773.4747494404983,Lehi,Summer,2013
3654.0870228176223,Lehi,Summer,2014
5107.017543859649,Lehi,Summer,2015
5383.338415150591,Lehi,Summer,2016
