column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
9011,200 Block E 300 S,16-C3608,LOGAN,,,05/05/2016 06:48:07 AM,Wednesday,18,05/04/2016 06:31:41 PM,C/S Drugs,758696378,[CCSO] C/S DRUGS,41.7258,"{'type': 'Point', 'coordinates': [-111.83, 41.7258]}",-111.83,Drugs,UT,06/03/2016 09:10:03 AM,
0,100 Block N 100 W,16-C3027,MILLVILLE,,,04/17/2016 06:45:19 AM,Saturday,21,04/16/2016 09:27:09 PM,Susp Incident,756956187,[CCSO] SUSP INCIDENT,41.6849,"{'type': 'Point', 'coordinates': [-111.826, 41.6849]}",-111.826,Community Policing,UT,06/26/2016 09:10:01 AM,
1,1300 Block W 5000 N,16-C3198,CACHE COUNTY,,,04/23/2016 06:46:11 AM,Friday,5,04/22/2016 05:31:43 AM,"Alarm,Intru",757683093,"[CCSO] ALARM,INTRU",41.8239,"{'type': 'Point', 'coordinates': [-111.868, 41.8239]}",-111.868,Alarm,UT,05/22/2016 09:10:03 AM,
2,3000 Block N 3200 W,16-C3199,CACHE COUNTY,,,04/23/2016 06:46:11 AM,Friday,7,04/22/2016 07:38:07 AM,Animal Problem,757683094,[CCSO] ANIMAL PROBLEM,41.7863,"{'type': 'Point', 'coordinates': [-111.912, 41.7863]}",-111.912,Community Policing,UT,05/22/2016 09:10:04 AM,
3,100 Block W 200 N,16-C1221,MILLVILLE,,,02/16/2016 07:39:46 AM,Monday,13,02/15/2016 01:03:09 PM,Animal Problem,750003534,[CCSO] ANIMAL PROBLEM,41.6851,"{'type': 'Point', 'coordinates': [-111.827, 41.6851]}",-111.827,Community Policing,UT,06/17/2016 09:41:55 AM,
4,1 Block N 100 E,16-C2256,HYRUM,,,03/23/2016 06:42:01 AM,Monday,18,03/21/2016 06:00:00 PM,Welfare Check,753645704,[CCSO] WELFARE CHECK,41.6351,"{'type': 'Point', 'coordinates': [-111.852, 41.6351]}",-111.852,Community Policing,UT,04/21/2016 09:09:32 AM,
5,6100 Block W SR 30,16-C2253,CACHE COUNTY,,,03/23/2016 06:42:01 AM,Tuesday,0,03/22/2016 12:25:43 AM,"Assist,Agency",753645701,"[CCSO] ASSIST,AGENCY",41.7513,"{'type': 'Point', 'coordinates': [-111.982, 41.7513]}",-111.982,Community Policing,UT,04/21/2016 09:09:31 AM,
6,500 Block S MAIN ST,16-C3200,CACHE COUNTY,,,04/23/2016 06:46:11 AM,Friday,8,04/22/2016 08:09:19 AM,Fraud,757683095,[CCSO] FRAUD,41.9132,"{'type': 'Point', 'coordinates': [-112.051, 41.9132]}",-112.051,Theft,UT,05/22/2016 09:10:04 AM,
7,SAM FELLOW RD,16-C3201,CACHE COUNTY,,,04/23/2016 06:46:11 AM,Friday,8,04/22/2016 08:16:54 AM,Animal Problem,757683096,[CCSO] ANIMAL PROBLEM,41.8446,"{'type': 'Point', 'coordinates': [-111.964, 41.8446]}",-111.964,Community Policing,UT,05/22/2016 09:10:04 AM,
8,1900 Block W 200 N,16-C3202,CACHE COUNTY,,,04/23/2016 06:46:11 AM,Friday,8,04/22/2016 08:45:00 AM,"Assist,Agency",757683097,"[CCSO] ASSIST,AGENCY",41.736,"{'type': 'Point', 'coordinates': [-111.882, 41.736]}",-111.882,Community Policing,UT,05/22/2016 09:10:05 AM,
9,13000 Block HIGH CREEK RD,16-C540,CACHE COUNTY,,,01/22/2016 07:43:02 AM,Thursday,13,01/21/2016 01:25:47 PM,"Assist,Citizen",746576000,"[CCSO] ASSIST,CITIZEN",41.9712,"{'type': 'Point', 'coordinates': [-111.772, 41.9712]}",-111.772,Community Policing,UT,07/18/2016 09:09:30 AM,
10,2900 Block N MAIN ST,15-C8529,NORTH LOGAN,,,10/18/2015 06:57:45 AM,Saturday,20,10/17/2015 08:27:56 PM,"Assist,Agency",734365623,"[CCSO] ASSIST,AGENCY",41.785,"{'type': 'Point', 'coordinates': [-111.834, 41.785]}",-111.834,Community Policing,UT,03/03/2016 10:09:12 AM,
11,2600 Block S SR 165,16-C188,NIBLEY,,,01/08/2016 07:45:13 AM,Thursday,20,01/07/2016 08:52:55 PM,DUI,743233778,[CCSO] DUI,41.6855,"{'type': 'Point', 'coordinates': [-111.834, 41.6855]}",-111.834,Traffic,UT,03/04/2016 10:09:57 AM,
12,TONY GROVE RD,18-C2654,CACHE COUNTY,,,04/02/2018 06:24:37 AM,Sunday,16,04/01/2018 04:50:27 PM,"Assist,Motoris",841025880,"[CCSO] ASSIST,MOTORIS",41.8825,"{'type': 'Point', 'coordinates': [-111.581, 41.8825]}",-111.581,Community Policing,UT,06/05/2018 03:01:48 PM,
13,100 Block W 600 S,16-C505,RICHMOND,,,01/21/2016 07:43:16 AM,Wednesday,7,01/20/2016 07:15:00 AM,Theft,745928215,[CCSO] THEFT,41.9106,"{'type': 'Point', 'coordinates': [-111.812, 41.9106]}",-111.812,Theft,UT,03/03/2016 10:09:36 AM,
14,1 Block S 100 W,16-C496,RICHMOND,,,01/21/2016 07:43:16 AM,Wednesday,9,01/20/2016 09:05:00 AM,Susp Incident,745928206,[CCSO] SUSP INCIDENT,41.9208,"{'type': 'Point', 'coordinates': [-111.812, 41.9208]}",-111.812,Community Policing,UT,03/03/2016 10:09:36 AM,
15,300 Block N 400 W,16-C567,HYRUM,,,01/23/2016 07:42:55 AM,Friday,21,01/22/2016 09:00:00 PM,Crim Mischief,746649259,[CCSO] CRIM MISCHIEF,41.6433,"{'type': 'Point', 'coordinates': [-111.866, 41.643299999999996]}",-111.866,Property Crime,UT,07/18/2016 09:09:31 AM,
16,2000 Block S 5400 W,16-C868,CACHE COUNTY,,,02/03/2016 07:41:21 AM,Tuesday,10,02/02/2016 10:52:44 AM,Traffic Control,748870573,[CCSO] TRAFFIC CONTROL,41.6953,"{'type': 'Point', 'coordinates': [-111.964, 41.6953]}",-111.964,Traffic,UT,07/18/2016 09:09:37 AM,
