column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,1600 Block N 2000 W,C1854852,CLINTON,,02/04/2018 07:21:49 AM,Saturday,1,02/03/2018 01:55:48 AM,Warrant Service,833337683,CAD: Warrant Service,41.1369879,"{'type': 'Point', 'coordinates': [-112.0638633, 41.1369879]}",-112.0638633,Other,UT,02/18/2018 06:04:30 AM,84015.0
2280,2100 Block N 1930 W,C1866798,CLINTON,,03/07/2018 07:35:44 AM,Tuesday,16,03/06/2018 04:54:00 PM,Harassment,836451209,CAD: Harassment,41.143733,"{'type': 'Point', 'coordinates': [-112.0623558, 41.143733]}",-112.0623558,Disorder,UT,03/21/2018 05:19:34 AM,84015.0
2333,2500 Block W 1950 N,C1896538,CLINTON,,05/19/2018 06:47:41 AM,Friday,9,05/18/2018 09:35:17 AM,Welfare Check,854585819,CAD: Welfare Check,41.142337,"{'type': 'Point', 'coordinates': [-112.057711, 41.142337]}",-112.057711,Other,UT,05/30/2018 06:02:11 PM,84015.0
2334,2000 Block W 1800 N,C1896603,CLINTON,,05/19/2018 06:47:41 AM,Friday,12,05/18/2018 12:44:32 PM,Theft,854585816,CAD: Theft,41.1372077,"{'type': 'Point', 'coordinates': [-112.0609003, 41.1372077]}",-112.0609003,Theft,UT,05/30/2018 06:02:11 PM,84015.0
1,600 Block W 2300 N,C1854882,CLINTON,,02/04/2018 07:21:49 AM,Saturday,7,02/03/2018 07:02:01 AM,Traffic Stop,833337682,CAD: Traffic Stop,41.1471594,"{'type': 'Point', 'coordinates': [-112.0380253, 41.1471594]}",-112.0380253,Vehicle Stop,UT,02/18/2018 06:04:30 AM,84015.0
2,1300 Block N 1000 W,C1854895,CLINTON,,02/04/2018 07:21:49 AM,Saturday,7,02/03/2018 07:56:59 AM,Traffic Stop,833337681,CAD: Traffic Stop,41.13269529999999,"{'type': 'Point', 'coordinates': [-112.045219, 41.1326953]}",-112.045219,Vehicle Stop,UT,02/18/2018 06:04:30 AM,84015.0
3,1800 Block W 800 N,C1854912,CLINTON,,02/04/2018 07:21:49 AM,Saturday,9,02/03/2018 09:47:32 AM,Traffic Stop,833337680,CAD: Traffic Stop,41.1253615,"{'type': 'Point', 'coordinates': [-112.0633239, 41.1253615]}",-112.0633239,Vehicle Stop,UT,02/18/2018 06:04:30 AM,84015.0
4,1600 Block W 800 N,C1854916,CLINTON,,02/04/2018 07:21:49 AM,Saturday,9,02/03/2018 09:55:39 AM,Traffic Stop,833337679,CAD: Traffic Stop,41.1253502,"{'type': 'Point', 'coordinates': [-112.0553474, 41.1253502]}",-112.0553474,Vehicle Stop,UT,02/18/2018 06:04:30 AM,84015.0
5,2500 Block W 1800 N,C1854989,CLINTON,,02/04/2018 07:21:49 AM,Saturday,14,02/03/2018 02:26:57 PM,Accident Property Damage,833337675,CAD: Accident Property Damage,41.139871,"{'type': 'Point', 'coordinates': [-112.0742466, 41.139871]}",-112.0742466,Traffic,UT,02/18/2018 06:04:30 AM,84015.0
6,1100 Block W 2250 N,C1854990,CLINTON,,02/04/2018 07:21:49 AM,Saturday,14,02/03/2018 02:27:57 PM,Residential Alarm,833337676,CAD: Residential Alarm,41.1462229,"{'type': 'Point', 'coordinates': [-112.0481454, 41.1462229]}",-112.0481454,Alarm,UT,02/18/2018 06:04:30 AM,84015.0
7,1900 Block N 2095 W,C1855015,CLINTON,,02/04/2018 07:21:49 AM,Saturday,15,02/03/2018 03:52:10 PM,Susp Circumstance,833337674,CAD: Susp Circumstance,41.1425376,"{'type': 'Point', 'coordinates': [-112.0663326, 41.1425376]}",-112.0663326,Community Policing,UT,02/18/2018 06:04:30 AM,84015.0
8,2300 Block W 2450 N,C1853090,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,0,01/30/2018 12:41:30 AM,Agency Assistance,832945147,CAD: Agency Assistance,41.1493845,"{'type': 'Point', 'coordinates': [-112.0494764, 41.1493845]}",-112.0494764,Other,UT,02/14/2018 06:30:01 AM,84015.0
9,1900 Block N 550 W,C1853097,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,1,01/30/2018 01:24:34 AM,Susp Circumstance,832945146,CAD: Susp Circumstance,41.1412525,"{'type': 'Point', 'coordinates': [-112.0361455, 41.1412525]}",-112.0361455,Community Policing,UT,02/14/2018 06:30:01 AM,84015.0
10,1600 Block N 2000 W,C1850107,CLINTON,,01/23/2018 09:25:46 AM,Monday,22,01/22/2018 10:58:11 PM,Shoplifting,832268709,CAD: Shoplifting,41.1369879,"{'type': 'Point', 'coordinates': [-112.0638633, 41.1369879]}",-112.0638633,Theft,UT,02/06/2018 06:45:41 AM,84015.0
11,2600 Block N 2000 W,C1853100,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,1,01/30/2018 01:59:17 AM,Agency Assistance,832945145,CAD: Agency Assistance,41.1510805,"{'type': 'Point', 'coordinates': [-112.0640996, 41.1510805]}",-112.0640996,Other,UT,02/14/2018 06:30:01 AM,84015.0
12,1800 Block N 2000 W,C1853103,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,2,01/30/2018 02:11:26 AM,Agency Assistance,832945144,CAD: Agency Assistance,41.1398974,"{'type': 'Point', 'coordinates': [-112.0644229, 41.1398974]}",-112.0644229,Other,UT,02/14/2018 06:30:01 AM,84015.0
13,2100 Block W 1800 N,C1853190,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,8,01/30/2018 08:37:48 AM,Fight,832945140,CAD: Fight,41.1407682,"{'type': 'Point', 'coordinates': [-112.0666976, 41.1407682]}",-112.0666976,Disorder,UT,02/14/2018 06:30:02 AM,84015.0
14,1700 Block N 3000 W,C1853238,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,10,01/30/2018 10:47:50 AM,Traffic Stop,832945137,CAD: Traffic Stop,41.1385257,"{'type': 'Point', 'coordinates': [-112.0838133, 41.1385257]}",-112.0838133,Vehicle Stop,UT,02/14/2018 06:30:02 AM,84015.0
15,2200 Block N 1500 W,C1853275,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,11,01/30/2018 11:51:48 AM,Assist Citizen,832945133,CAD: Assist Citizen,41.1457978,"{'type': 'Point', 'coordinates': [-112.0548283, 41.1457978]}",-112.0548283,Other,UT,02/14/2018 06:30:02 AM,84015.0
16,1000 Block N 1000 W,C1853305,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,12,01/30/2018 12:59:13 PM,"Evading, Resisting Police",832945132,"CAD: Evading, Resisting Police",41.1282136,"{'type': 'Point', 'coordinates': [-112.0448948, 41.1282136]}",-112.0448948,Traffic,UT,02/14/2018 06:30:02 AM,84015.0
17,2200 Block N 1500 W,C1853342,CLINTON,,01/31/2018 07:24:53 AM,Tuesday,15,01/30/2018 03:09:49 PM,Sex Offender Registration,832945131,CAD: Sex Offender Registration,41.1457978,"{'type': 'Point', 'coordinates': [-112.0548283, 41.1457978]}",-112.0548283,Other Sexual Offense,UT,02/14/2018 06:30:02 AM,84015.0
18,2600 Block N 2000 W,C1852308,CLINTON,,01/29/2018 07:34:17 AM,Sunday,0,01/28/2018 12:07:26 AM,Traffic Stop,832774179,CAD: Traffic Stop,41.1510805,"{'type': 'Point', 'coordinates': [-112.0640996, 41.1510805]}",-112.0640996,Vehicle Stop,UT,02/12/2018 06:06:19 AM,84015.0
19,2500 Block W 1800 N,C1851460,CLINTON,,01/27/2018 08:00:52 AM,Friday,0,01/26/2018 12:09:53 AM,Traffic Stop,832650894,CAD: Traffic Stop,41.139871,"{'type': 'Point', 'coordinates': [-112.0742466, 41.139871]}",-112.0742466,Vehicle Stop,UT,02/10/2018 06:33:15 AM,84015.0
20,1900 Block N 2000 W,C1851461,CLINTON,,01/27/2018 08:00:52 AM,Friday,0,01/26/2018 12:14:23 AM,Susp Circumstance,832650893,CAD: Susp Circumstance,41.1415248,"{'type': 'Point', 'coordinates': [-112.063872, 41.1415248]}",-112.063872,Community Policing,UT,02/10/2018 06:33:15 AM,84015.0
21,2700 Block W 1400 N,C1851478,CLINTON,,01/27/2018 08:00:52 AM,Friday,2,01/26/2018 02:31:02 AM,Barking Dog,832650892,CAD: Barking Dog,41.1340931,"{'type': 'Point', 'coordinates': [-112.0784373, 41.1340931]}",-112.0784373,Disorder,UT,02/10/2018 06:33:15 AM,84015.0
22,2300 Block W 1300 N,C1851502,CLINTON,,01/27/2018 08:00:52 AM,Friday,6,01/26/2018 06:44:45 AM,Traffic Stop,832650891,CAD: Traffic Stop,41.1330044,"{'type': 'Point', 'coordinates': [-112.0698866, 41.1330044]}",-112.0698866,Vehicle Stop,UT,02/10/2018 06:33:15 AM,84015.0
23,1600 Block N 2000 W,C1851612,CLINTON,,01/27/2018 08:00:52 AM,Friday,11,01/26/2018 11:46:11 AM,Accident Hit & Run,832650888,CAD: Accident Hit & Run,41.1369879,"{'type': 'Point', 'coordinates': [-112.0638633, 41.1369879]}",-112.0638633,Traffic,UT,02/10/2018 06:33:15 AM,84015.0
24,2200 Block N 1500 W,C1851628,CLINTON,,01/27/2018 08:00:52 AM,Friday,12,01/26/2018 12:26:58 PM,Theft,832650886,CAD: Theft,41.1457978,"{'type': 'Point', 'coordinates': [-112.0548283, 41.1457978]}",-112.0548283,Theft,UT,02/10/2018 06:33:15 AM,84015.0
25,2000 Block W 1800 N,C1851644,CLINTON,,01/27/2018 08:00:52 AM,Friday,13,01/26/2018 01:16:13 PM,Susp Circumstance,832650885,CAD: Susp Circumstance,41.1372077,"{'type': 'Point', 'coordinates': [-112.0609003, 41.1372077]}",-112.0609003,Community Policing,UT,02/10/2018 06:33:15 AM,84015.0
26,1700 Block N 2000 W,C1851748,CLINTON,,01/27/2018 08:00:52 AM,Friday,17,01/26/2018 05:57:58 PM,Accident Property Damage,832650881,CAD: Accident Property Damage,41.1385131,"{'type': 'Point', 'coordinates': [-112.064424, 41.1385131]}",-112.064424,Traffic,UT,02/10/2018 06:33:15 AM,84015.0
27,1000 Block W 2300 N,C1851752,CLINTON,,01/27/2018 08:00:52 AM,Friday,18,01/26/2018 06:09:05 PM,Traffic Stop,832650879,CAD: Traffic Stop,41.1471524,"{'type': 'Point', 'coordinates': [-112.0450468, 41.1471524]}",-112.0450468,Vehicle Stop,UT,02/10/2018 06:33:15 AM,84015.0
28,1400 Block N 2000 W,C1851753,CLINTON,,01/27/2018 08:00:52 AM,Friday,18,01/26/2018 06:10:07 PM,Accident Property Damage,832650880,CAD: Accident Property Damage,41.1341869,"{'type': 'Point', 'coordinates': [-112.0645028, 41.1341869]}",-112.0645028,Traffic,UT,02/10/2018 06:33:15 AM,84015.0
