Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
8848,400 Block OREM BLVD,15OR29573,OREM,,,07/12/2015 08:04:40 AM,Thursday,20,07/09/2015 08:07:51 PM,Description: Alarm,723750126,ALARM,40.2889,"{'type': 'Point', 'coordinates': [-111.694, 40.2889]}",-111.694,Alarm,UT,07/22/2015 08:16:20 AM,
1261,1700 Block STATE ST,16OR22903,OREM,,,05/17/2016 05:45:35 AM,Saturday,16,05/14/2016 04:05:15 PM,Description: Alarm,759697840,ALARM,40.3301,"{'type': 'Point', 'coordinates': [-111.711, 40.3301]}",-111.711,Alarm,UT,07/11/2016 03:48:45 PM,
1932,1 Block PALISADE DR,15OR03209,OREM,,,02/04/2015 09:04:22 AM,Saturday,11,01/24/2015 11:01:54 AM,Description: Alarm,682818094,ALARM,40.2982,"{'type': 'Point', 'coordinates': [-111.669, 40.2982]}",-111.669,Alarm,UT,02/05/2015 09:03:57 AM,
2041,800 Block STATE ST,15OR03614,OREM,,,02/04/2015 09:04:24 AM,Tuesday,13,01/27/2015 01:01:20 PM,Description: Fraud,682818233,FRAUD,40.2815,"{'type': 'Point', 'coordinates': [-111.688, 40.2815]}",-111.688,Theft,UT,02/05/2015 09:03:48 AM,
5118,1900 Block MAIN ST,15OR11840,OREM,,,03/24/2015 09:09:09 AM,Saturday,17,03/21/2015 05:03:32 PM,Description: Alarm,710686523,ALARM,40.2624,"{'type': 'Point', 'coordinates': [-111.695, 40.2624]}",-111.695,Alarm,UT,04/01/2015 09:16:32 AM,
0,1000 Block STATE ST,18OR06557,OREM,,,02/17/2018 07:59:30 AM,Wednesday,1,02/14/2018 01:02:45 AM,Description: CS-Poss-Meth,834430364,CS-POSS-METH,40.2777,"{'type': 'Point', 'coordinates': [-111.686, 40.2777]}",-111.686,Drugs,UT,02/28/2018 06:23:28 AM,
1,900 Block STATE ST,18OR06560,OREM,,,02/17/2018 07:59:30 AM,Wednesday,2,02/14/2018 02:02:12 AM,Description: Alarm,834430362,ALARM,40.3143,"{'type': 'Point', 'coordinates': [-111.702, 40.3143]}",-111.702,Alarm,UT,02/28/2018 06:23:28 AM,
2,1 Block UNIVERSITY PKWY,18OR06561,OREM,,,02/17/2018 07:59:30 AM,Wednesday,4,02/14/2018 04:02:40 AM,Description: Alarm,834430361,ALARM,40.2735,"{'type': 'Point', 'coordinates': [-111.694, 40.2735]}",-111.694,Alarm,UT,02/28/2018 06:23:28 AM,
3,1 Block UNIVERSITY PKWY,18OR06563,OREM,,,02/17/2018 07:59:30 AM,Wednesday,5,02/14/2018 05:02:18 AM,Description: Alarm,834430359,ALARM,40.2735,"{'type': 'Point', 'coordinates': [-111.694, 40.2735]}",-111.694,Alarm,UT,02/28/2018 06:23:28 AM,
4,800 Block W 400 NORTH,18OR06562,OREM,,,02/17/2018 07:59:30 AM,Wednesday,5,02/14/2018 05:02:26 AM,Description: Citizen Assist,834430360,CITIZEN ASSIST,40.3044,"{'type': 'Point', 'coordinates': [-111.717, 40.3044]}",-111.717,Community Policing,UT,02/28/2018 06:23:28 AM,
5,800 Block STATE ST,18OR06564,OREM,,,02/17/2018 07:59:30 AM,Wednesday,5,02/14/2018 05:02:53 AM,Description: Traffic Accident-Reportable,834430358,TRAFFIC ACCIDENT-REPORTABLE,40.3119,"{'type': 'Point', 'coordinates': [-111.701, 40.3119]}",-111.701,Traffic,UT,02/28/2018 06:23:28 AM,
6,1 Block PARADISE DR,18OR06566,OREM,,,02/17/2018 07:59:30 AM,Wednesday,6,02/14/2018 06:02:24 AM,Description: Custodial Interference,834430357,CUSTODIAL INTERFERENCE,40.298,"{'type': 'Point', 'coordinates': [-111.68, 40.298]}",-111.68,Family Offense,UT,02/28/2018 06:23:28 AM,
7,1000 Block PALOS VERDES DR,18OR06567,OREM,,,02/17/2018 07:59:30 AM,Wednesday,6,02/14/2018 06:02:50 AM,Description: Citizen Assist,834430356,CITIZEN ASSIST,40.2786,"{'type': 'Point', 'coordinates': [-111.706, 40.2786]}",-111.706,Community Policing,UT,02/28/2018 06:23:28 AM,
8,1 Block COUNTRY WAY,18OR06571,OREM,,,02/17/2018 07:59:30 AM,Wednesday,7,02/14/2018 07:02:12 AM,Description: Citizen Assist,834430352,CITIZEN ASSIST,40.2966,"{'type': 'Point', 'coordinates': [-111.673, 40.2966]}",-111.673,Community Policing,UT,02/28/2018 06:23:28 AM,
9,200 Block UNIVERSITY PKWY,18OR06569,OREM,,,02/17/2018 07:59:30 AM,Wednesday,7,02/14/2018 07:02:55 AM,Description: Traffic Accident-Injury,834430353,TRAFFIC ACCIDENT-INJURY,40.2735,"{'type': 'Point', 'coordinates': [-111.69, 40.2735]}",-111.69,Traffic,UT,02/28/2018 06:23:28 AM,
10,1000 Block E 400 NORTH,16OR34953,OREM,,,07/25/2016 08:00:58 AM,Friday,15,07/22/2016 03:07:49 PM,Description: Fraud,765989394,FRAUD,40.3045,"{'type': 'Point', 'coordinates': [-111.67, 40.3045]}",-111.67,Theft,UT,08/04/2016 10:14:19 AM,
11,1 Block CENTER ST,16OR34960,OREM,,,07/25/2016 08:00:54 AM,Friday,16,07/22/2016 04:07:12 PM,Description: Citizen Assist,765989306,CITIZEN ASSIST,40.2971,"{'type': 'Point', 'coordinates': [-111.693, 40.2971]}",-111.693,Community Policing,UT,08/04/2016 10:10:39 AM,
12,800 Block N 1400 EAST,16OR34957,OREM,,,07/25/2016 08:00:58 AM,Friday,16,07/22/2016 04:07:24 PM,Description: Citizen Assist,765989391,CITIZEN ASSIST,40.3128,"{'type': 'Point', 'coordinates': [-111.662, 40.3128]}",-111.662,Community Policing,UT,08/04/2016 10:14:20 AM,
13,1300 Block W 1600 NORTH,16OR34966,OREM,,,07/27/2016 08:01:39 AM,Friday,16,07/22/2016 04:07:47 PM,Description: Traffic Accident-Non Reportabl,766194889,TRAFFIC ACCIDENT-NON REPORTABL,40.3263,"{'type': 'Point', 'coordinates': [-111.729, 40.3263]}",-111.729,Traffic,UT,08/04/2016 10:10:34 AM,
14,600 Block STATE ST,16OR34971,OREM,,,07/25/2016 08:00:50 AM,Friday,17,07/22/2016 05:07:10 PM,Description: Citizen Assist,765989256,CITIZEN ASSIST,40.2843,"{'type': 'Point', 'coordinates': [-111.689, 40.2843]}",-111.689,Community Policing,UT,08/04/2016 10:17:36 AM,
15,100 Block CENTER ST,16OR34973,OREM,,,07/25/2016 08:00:50 AM,Friday,17,07/22/2016 05:07:11 PM,Description: Citizen Assist,765989250,CITIZEN ASSIST,40.2971,"{'type': 'Point', 'coordinates': [-111.699, 40.2971]}",-111.699,Community Policing,UT,08/04/2016 10:17:36 AM,
16,100 Block E 200 NORTH,16OR34976,OREM,,,07/25/2016 08:00:47 AM,Friday,17,07/22/2016 05:07:48 PM,Description: Animal Problem,765989241,ANIMAL PROBLEM,40.3008,"{'type': 'Point', 'coordinates': [-111.692, 40.3008]}",-111.692,Community Policing,UT,08/04/2016 10:17:37 AM,
17,1100 Block S 1680 WEST,16OR34987,OREM,,,07/25/2016 08:01:07 AM,Friday,18,07/22/2016 06:07:07 PM,Description: Alarm,765989421,ALARM,40.2755,"{'type': 'Point', 'coordinates': [-111.735, 40.2755]}",-111.735,Alarm,UT,08/04/2016 10:10:39 AM,
18,1100 Block STATE ST,16OR34982,OREM,,,07/25/2016 08:00:47 AM,Friday,18,07/22/2016 06:07:18 PM,Description: Citizen Assist,765989224,CITIZEN ASSIST,40.3176,"{'type': 'Point', 'coordinates': [-111.704, 40.3176]}",-111.704,Community Policing,UT,08/04/2016 10:14:46 AM,
19,200 Block STATE ST,16OR34979,OREM,,,07/25/2016 08:00:47 AM,Friday,18,07/22/2016 06:07:49 PM,Description: Family Problem-No Violence,765989235,FAMILY PROBLEM-NO VIOLENCE,40.2935,"{'type': 'Point', 'coordinates': [-111.693, 40.2935]}",-111.693,Family Offense,UT,08/04/2016 10:10:21 AM,
20,500 Block N 680 WEST,16OR34994,OREM,,,07/25/2016 08:01:00 AM,Friday,19,07/22/2016 07:07:00 PM,Description: Citizen Assist,765989401,CITIZEN ASSIST,40.3077,"{'type': 'Point', 'coordinates': [-111.712, 40.3077]}",-111.712,Community Policing,UT,08/04/2016 10:14:46 AM,
21,1700 Block VILLAGE LN,16OR34991,OREM,,,07/25/2016 08:01:04 AM,Friday,19,07/22/2016 07:07:27 PM,Description: Theft-Property-From Motor Vehi,765989416,THEFT-PROPERTY-FROM MOTOR VEHI,40.266,"{'type': 'Point', 'coordinates': [-111.685, 40.266]}",-111.685,Theft,UT,08/04/2016 10:17:43 AM,
22,200 Block UNIVERSITY PKWY,16OR35019,OREM,,,07/25/2016 08:00:54 AM,Friday,20,07/22/2016 08:07:11 PM,Description: Traffic Accident-Non Reportabl,765989302,TRAFFIC ACCIDENT-NON REPORTABL,40.2736,"{'type': 'Point', 'coordinates': [-111.702, 40.2736]}",-111.702,Traffic,UT,08/04/2016 10:10:23 AM,
23,400 Block UNIVERSITY PKWY,16OR35011,OREM,,,07/25/2016 08:00:54 AM,Friday,20,07/22/2016 08:07:17 PM,Description: Traffic Accident-Non Reportabl,765989297,TRAFFIC ACCIDENT-NON REPORTABL,40.2734,"{'type': 'Point', 'coordinates': [-111.683, 40.2734]}",-111.683,Traffic,UT,08/04/2016 10:10:22 AM,
24,500 Block HEATHER RD,16OR35017,OREM,,,07/25/2016 08:00:50 AM,Friday,20,07/22/2016 08:07:58 PM,Description: Citizen Assist,765989267,CITIZEN ASSIST,40.3318,"{'type': 'Point', 'coordinates': [-111.683, 40.3318]}",-111.683,Community Policing,UT,08/04/2016 10:10:23 AM,
25,200 Block E 800 SOUTH,16OR35024,OREM,,,07/25/2016 08:00:47 AM,Friday,21,07/22/2016 09:07:19 PM,Description: Citizen Assist,765989221,CITIZEN ASSIST,40.2824,"{'type': 'Point', 'coordinates': [-111.69, 40.2824]}",-111.69,Community Policing,UT,08/04/2016 10:17:37 AM,
26,600 Block N 1000 EAST,16OR35025,OREM,,,07/25/2016 08:01:04 AM,Friday,21,07/22/2016 09:07:27 PM,Description: Traffic Offense,765989419,TRAFFIC OFFENSE,40.3082,"{'type': 'Point', 'coordinates': [-111.672, 40.3082]}",-111.672,Traffic,UT,08/04/2016 10:17:38 AM,
27,1300 Block E 750 NORTH,16OR35023,OREM,,,07/25/2016 08:00:50 AM,Friday,21,07/22/2016 09:07:31 PM,Description: Agency Assist,765989257,AGENCY ASSIST,40.3112,"{'type': 'Point', 'coordinates': [-111.664, 40.3112]}",-111.664,Community Policing,UT,08/04/2016 10:10:24 AM,
