Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,200 Block S 1600 E,20120235,PRICE,,,02/23/2012 09:36:06 AM,Wednesday,18,02/22/2012 06:00:00 PM,PUBLIC INTOX / Public Intoxication,100181896,[PCPD] Public Intoxication,39.5972458,"{'type': 'Point', 'coordinates': [-110.78677, 39.597246]}",-110.7867701,Disorder,UT,08/19/2012 07:07:13 AM,84501
1,FAMILY DOLLAR 720 E MAIN ST,20120233,PRICE,,,02/24/2012 09:36:09 AM,Wednesday,14,02/22/2012 02:00:00 PM,"""TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage""",100329494,"""[PCPD] Traffic Accident, Vehicle Damage""",39.5995416,"{'type': 'Point', 'coordinates': [-110.797759, 39.599542]}",-110.7977592,Traffic,UT,08/19/2012 07:07:13 AM,84501
2,200 Block EAST 200 NORTH,20120237,PRICE,,,02/24/2012 09:36:09 AM,Thursday,12,02/23/2012 12:45:00 PM,THEFT / Theft Other,100329495,[PCPD] Theft Other,39.6024482,"{'type': 'Point', 'coordinates': [-110.807265, 39.602448]}",-110.8072649,Theft,UT,08/20/2012 07:07:10 AM,84501
3,1 Block E MAIN ST,20120240,PRICE,,,02/24/2012 09:36:09 AM,Thursday,16,02/23/2012 04:08:00 PM,CONTROLLED SUBSTANCE / Other Controlled Substances,100329496,[PCPD] Other Controlled Substances,39.599825,"{'type': 'Point', 'coordinates': [-110.811024, 39.599825]}",-110.811024,Drugs,UT,08/20/2012 07:07:13 AM,84501
4,MAIN ST 100 EAST,20120239,PRICE,,,02/24/2012 09:36:09 AM,Thursday,16,02/23/2012 04:08:00 PM,"""TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage""",100329497,"""[PCPD] Traffic Accident, Vehicle Damage""",39.5995463,"{'type': 'Point', 'coordinates': [-110.809125, 39.599546]}",-110.8091247,Traffic,UT,08/20/2012 07:07:13 AM,84501
5,300 Block N 100 E,20120242,PRICE,,,02/24/2012 09:36:09 AM,Thursday,21,02/23/2012 09:00:00 PM,THEFT / Theft Other,100329498,[PCPD] Theft Other,39.6042884,"{'type': 'Point', 'coordinates': [-110.809217, 39.604288]}",-110.8092173,Theft,UT,08/20/2012 07:07:10 AM,84501
6,100 Block E,20120238,PRICE,,,02/25/2012 09:36:09 AM,Thursday,15,02/23/2012 03:29:00 PM,"""TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage""",100784932,"""[PCPD] Traffic Accident, Vehicle Damage""",39.6098116,"{'type': 'Point', 'coordinates': [-110.808173, 39.609812]}",-110.8081731,Traffic,UT,08/20/2012 07:07:13 AM,84501
7,600 Block E 300 S,20120243,PRICE,,,02/25/2012 09:36:09 AM,Friday,1,02/24/2012 01:36:00 AM,"""DAMAGED PROPERTY / Damaged Property, Private""",100784933,"""[PCPD] Damaged Property, Private""",39.594849,"{'type': 'Point', 'coordinates': [-110.790589, 39.594848999999996]}",-110.7905889,Property Crime,UT,08/21/2012 07:12:15 AM,84501
8,900 Block E 100 N,20120249,PRICE,,,02/26/2012 09:36:09 AM,Saturday,7,02/25/2012 07:59:00 AM,"""THEFT / Larceny, from Vehicle""",100829786,"""[PCPD] Larceny, from Vehicle""",39.6010021,"{'type': 'Point', 'coordinates': [-110.795565, 39.601002]}",-110.7955648,Theft from Vehicle,UT,08/22/2012 07:13:19 AM,84501
9,200 Block W RAILROAD AVE,20120253,PRICE,,,02/26/2012 09:36:09 AM,Saturday,15,02/25/2012 03:47:00 PM,"""THEFT / Larceny, from Building""",100829787,"""[PCPD] Larceny, from Building""",39.5986305,"{'type': 'Point', 'coordinates': [-110.814135, 39.598631]}",-110.8141352,Theft,UT,08/22/2012 07:13:19 AM,84501
10,400 Block S 100 E,20120255,PRICE,,,02/26/2012 09:36:09 AM,Saturday,20,02/25/2012 08:58:00 PM,"""CONTROLLED SUBSTANCE / Narcotic Equipment, Possession""",100829788,"""[PCPD] Narcotic Equipment, Possession""",39.5936027,"{'type': 'Point', 'coordinates': [-110.808986, 39.593603]}",-110.8089856,Drugs,UT,08/22/2012 07:13:19 AM,84501
11,200 Block N 300 E,20120247,PRICE,,,02/27/2012 09:36:09 AM,Friday,17,02/24/2012 05:05:00 PM,"""TRAFFIC ACCIDENT / Traffic Accident, Vehicle Damage""",100871057,"""[PCPD] Traffic Accident, Vehicle Damage""",39.602119,"{'type': 'Point', 'coordinates': [-110.805062, 39.602119]}",-110.805062,Traffic,UT,08/21/2012 07:12:15 AM,84501
