column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
0,,16-5647,Roy,,,03/05/2016 07:25:04 AM,Friday,11,03/04/2016 11:13:53 AM,ALARM-BURGLAR,751766860,Alarm,,,,Other,UT,03/18/2016 08:51:09 AM,
129,,16-5048,Roy,,,02/28/2016 07:24:10 AM,Saturday,13,02/27/2016 01:54:08 PM,TRAFFIC STOP (10-60),751029830,Traffic,,,,Traffic,UT,03/12/2016 09:51:09 AM,
130,,16-5053,Roy,,,02/28/2016 07:24:10 AM,Saturday,14,02/27/2016 02:16:06 PM,KEEP THE PEACE,751029833,Other,,,,Other,UT,03/12/2016 09:51:09 AM,
131,,16-5061,Roy,,,02/28/2016 07:24:10 AM,Saturday,16,02/27/2016 04:44:29 PM,TRAFFIC STOP (10-60),751029835,Traffic,,,,Traffic,UT,03/12/2016 09:51:09 AM,
132,,16-5066,Roy,,,02/28/2016 07:24:10 AM,Saturday,17,02/27/2016 05:31:02 PM,TRAFFIC STOP (10-60),751029838,Traffic,,,,Traffic,UT,03/12/2016 09:51:09 AM,
1,1800 Block W RIVERDALE RD,16-2728,ROY,,,02/03/2016 07:31:24 AM,Monday,3,02/01/2016 03:25:08 AM,TRAFFIC STOP (10-60),748869159,Traffic,41.1687506,"{'type': 'Point', 'coordinates': [-112.0235265, 41.1687506]}",-112.0235265,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
2,3800 Block S 1900 W,16-2729,ROY,,,02/03/2016 07:31:24 AM,Monday,3,02/01/2016 03:34:19 AM,TRAFFIC STOP (10-60),748869160,Traffic,41.1937742,"{'type': 'Point', 'coordinates': [-112.0231243, 41.1937742]}",-112.0231243,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
3,2900 Block W 5600 S,16-2731,ROY,,,02/03/2016 07:31:24 AM,Monday,4,02/01/2016 04:58:46 AM,TRAFFIC STOP (10-60),748869161,Traffic,41.1616656,"{'type': 'Point', 'coordinates': [-112.0506706, 41.1616656]}",-112.0506706,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
4,5400 Block S 2100 W,16-2733,ROY,,,02/03/2016 07:31:24 AM,Monday,7,02/01/2016 07:48:48 AM,THEFT (10-92),748869162,Theft,41.1647331,"{'type': 'Point', 'coordinates': [-112.0308038, 41.1647331]}",-112.0308038,Theft,UT,02/15/2016 09:51:38 AM,84067.0
5,3300 Block W 6000 S,16-2734,ROY,,,02/03/2016 07:31:24 AM,Monday,7,02/01/2016 07:51:49 AM,TRAFFIC STOP (10-60),748869163,Traffic,41.1544455,"{'type': 'Point', 'coordinates': [-112.0595273, 41.1544455]}",-112.0595273,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
6,2100 Block W 4800 S,16-2738,ROY,,,02/03/2016 07:31:24 AM,Monday,8,02/01/2016 08:55:08 AM,COMMUNITY POLICING,748869164,Community Policing,41.1764593,"{'type': 'Point', 'coordinates': [-112.0316888, 41.1764593]}",-112.0316888,Proactive Policing,UT,02/15/2016 09:51:38 AM,84067.0
7,4800 Block S 3500 W,16-2740,ROY,,,02/03/2016 07:31:24 AM,Monday,9,02/01/2016 09:44:33 AM,TRAFFIC STOP (10-60),748869165,Traffic,41.1748167,"{'type': 'Point', 'coordinates': [-112.0644221, 41.1748167]}",-112.0644221,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
8,4800 Block S 1900 W,16-2742,ROY,,,02/03/2016 07:31:24 AM,Monday,10,02/01/2016 10:03:42 AM,TRAFFIC STOP (10-60),748869166,Traffic,41.1751718,"{'type': 'Point', 'coordinates': [-112.0259741, 41.1751718]}",-112.0259741,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
9,1900 Block W 4700 S,16-2748,ROY,,,02/03/2016 07:31:24 AM,Monday,11,02/01/2016 11:03:29 AM,TRAFFIC STOP (10-60),748869167,Traffic,41.178247,"{'type': 'Point', 'coordinates': [-112.027066, 41.178247]}",-112.027066,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
10,3900 Block W 5700 S,16-2750,ROY,,,02/03/2016 07:31:24 AM,Monday,11,02/01/2016 11:30:00 AM,BURGLARY (10-91),748869168,Breaking & Entering,41.159538,"{'type': 'Point', 'coordinates': [-112.074342, 41.159538]}",-112.074342,Breaking & Entering,UT,02/15/2016 09:51:38 AM,84067.0
11,2000 Block W 5600 S,16-2753,ROY,,,02/03/2016 07:31:24 AM,Monday,11,02/01/2016 11:43:01 AM,TRAFFIC STOP (10-60),748869169,Traffic,41.1616937,"{'type': 'Point', 'coordinates': [-112.028451, 41.1616937]}",-112.028451,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
12,2100 Block W 4800 S,16-2754,ROY,,,02/03/2016 07:31:24 AM,Monday,11,02/01/2016 11:49:48 AM,TRAFFIC ACCIDENT PRIVATE PROPERTY (10-50PD),748869170,Traffic,41.1764593,"{'type': 'Point', 'coordinates': [-112.0316888, 41.1764593]}",-112.0316888,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
13,6100 Block S I 15 SB FWY,16-2755,ROY,,,02/03/2016 07:31:24 AM,Monday,11,02/01/2016 11:51:10 AM,TRAFFIC STOP (10-60),748869171,Traffic,41.1616108,"{'type': 'Point', 'coordinates': [-112.0263313, 41.1616108]}",-112.0263313,Traffic,UT,02/15/2016 09:51:38 AM,
14,5800 Block S 3500 W,16-2767,ROY,,,02/03/2016 07:31:24 AM,Monday,14,02/01/2016 02:06:37 PM,TRAFFIC STOP (10-60),748869172,Traffic,41.1577496,"{'type': 'Point', 'coordinates': [-112.0644331, 41.1577496]}",-112.0644331,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
15,5500 Block S 1900 W,16-2768,ROY,,,02/03/2016 07:31:24 AM,Monday,14,02/01/2016 02:08:04 PM,TRAFFIC STOP (10-60),748869173,Traffic,41.163584,"{'type': 'Point', 'coordinates': [-112.025525, 41.163584]}",-112.025525,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
16,4200 Block W 5050 S,16-2771,ROY,,,02/03/2016 07:31:24 AM,Monday,14,02/01/2016 02:46:09 PM,TRAFFIC STOP (10-60),748869174,Traffic,41.1717196,"{'type': 'Point', 'coordinates': [-112.081532, 41.1717196]}",-112.081532,Traffic,UT,02/15/2016 09:51:38 AM,84067.0
17,4800 Block S 4300 W,16-2773,ROY,,,02/03/2016 07:31:24 AM,Monday,14,02/01/2016 02:59:24 PM,TRAFFIC STOP (10-60),748869175,Traffic,41.1848964,"{'type': 'Point', 'coordinates': [-112.0951863, 41.1848964]}",-112.0951863,Traffic,UT,02/15/2016 09:51:38 AM,84401.0
