CASE,OFFENSE CODE,OFFENSE DESCRIPTION,REPORT DATE,OCC DATE,DAY OF WEEK,LOCATION,Location 1
SL2012158889,1305-0,ASSAULT,09/09/2012 06:54:00 PM,09/09/2012 06:54:00 PM,1,"1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)","1400 W 400 S
Salt lake City, Utah
(40.760667760000445, -111.9322005569997)"
SL2012180471,1313-0,ASSAULT,10/15/2012 04:23:00 AM,10/15/2012 04:23:00 AM,2,"600 W 300 S
Salt lake City, Utah
(40.775877644000445, -111.9083756709997)","600 W 300 S
Salt lake City, Utah
(40.775877644000445, -111.9083756709997)"
SL201230598,1313-0,ASSAULT,02/23/2012 12:28:00 AM,02/23/2012 12:00:00 AM,5,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL201231890,1311-0,ASSAULT,02/24/2012 10:44:00 PM,02/24/2012 10:44:00 PM,6,"200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)","200 S RIO GRANDE ST
Salt lake City, Utah
(40.76482373300047, -111.90411309999968)"
SL201212255,1313-0,ASSAULT,01/21/2012 10:53:00 PM,01/21/2012 10:53:00 PM,7,"400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)","400 S 400 W
Salt lake City, Utah
(40.760572141000466, -111.90267252499967)"
SL2012183992,1313-0,ASSAULT,10/21/2012 12:20:00 AM,10/21/2012 12:20:00 AM,1,"2400 E 1700 S
Salt lake City, Utah
(40.73355728900049, -111.8221572059997)","2400 E 1700 S
Salt lake City, Utah
(40.73355728900049, -111.8221572059997)"
SL201281073,1313-0,ASSAULT,05/15/2012 10:36:00 AM,05/15/2012 09:41:00 AM,3,"100 E 100 S
Salt lake City, Utah
(40.76715372600046, -111.88810808899967)","100 E 100 S
Salt lake City, Utah
(40.76715372600046, -111.88810808899967)"
SL2012154106,1313-0,ASSAULT,09/02/2012 10:27:00 AM,09/02/2012 10:27:00 AM,1,"100 E HAMPTON AVE
Salt lake City, Utah
(40.74432522900048, -111.8881081299997)","100 E HAMPTON AVE
Salt lake City, Utah
(40.74432522900048, -111.8881081299997)"
SL201253966,1316-2,ASSAULT,04/01/2012 04:35:00 PM,04/01/2012 04:35:00 PM,1,"600 S 200 W
Salt lake City, Utah
(40.75620985900048, -111.89684341799972)","600 S 200 W
Salt lake City, Utah
(40.75620985900048, -111.89684341799972)"
SL201249479,1306-0,ASSAULT,03/25/2012 09:15:00 AM,03/25/2012 09:15:00 AM,1,"800 S 900 W
Salt lake City, Utah
(40.751843729000484, -111.9168656009997)","800 S 900 W
Salt lake City, Utah
(40.751843729000484, -111.9168656009997)"
SL2012220631,1313-0,ASSAULT,12/29/2012 04:39:00 PM,12/29/2012 04:39:00 PM,7,"1400 E HOLLYWOOD AVE
Salt lake City, Utah
(40.72744500500045, -111.85074966999969)","1400 E HOLLYWOOD AVE
Salt lake City, Utah
(40.72744500500045, -111.85074966999969)"
