Year,Agency,Population,Homicide,Rape,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Arson,Total Crime Index,"Crime Rate per 1,000"
2014,Unified PD of Greater Salt Lake ,,5.0,103.0,182.0,426.0,1595.0,8262.0,1255.0,22.0,11850.0,
2014,Murray PD,,1.0,31.0,55.0,107.0,284.0,1964.0,144.0,1.0,2587.0,
2014,Salt Lake City PD,,7.0,141.0,446.0,765.0,1691.0,12892.0,1579.0,58.0,17579.0,
2014,SouthSalt Lake PD,,2.0,41.0,44.0,119.0,210.0,1186.0,254.0,2.0,1858.0,
2014,Sandy PD,,2.0,12.0,37.0,95.0,418.0,1971.0,157.0,7.0,2699.0,
2014,West Jordan PD,,0.0,12.0,39.0,155.0,286.0,1604.0,165.0,3.0,2264.0,
2014,University of Utah PD,,0.0,4.0,2.0,7.0,85.0,467.0,21.0,0.0,586.0,
2014,Draper PD,,1.0,8.0,8.0,43.0,159.0,906.0,86.0,5.0,1216.0,
2014,South Jordan PD,,0.0,9.0,19.0,17.0,151.0,1151.0,71.0,1.0,1419.0,
2014,Bluffdale PD,,0.0,2.0,0.0,5.0,36.0,83.0,7.0,0.0,133.0,
2014,Alta Marshal,,,,,,,,,,,
2014,West Valley City PD,,1.0,100.0,132.0,366.0,834.0,4296.0,689.0,11.0,6429.0,
2014,Granite School District PD,,0.0,0.0,1.0,9.0,16.0,143.0,2.0,9.0,180.0,
2014,Utah Transit Authority PD,,0.0,0.0,10.0,3.0,4.0,2351.0,53.0,2.0,2423.0,
2014,Cottonwood Heights PD,,0.0,6.0,9.0,26.0,107.0,556.0,46.0,1.0,751.0,
2013,Unified PD of Greater Salt Lake ~,335564.0,6.0,119.0,218.0,535.0,1861.0,8540.0,1238.0,44.0,12561.0,37.43
2013,Alta Marshal,390.0,,,,,,,,,,
2013,Bluffdale PD,8387.0,0.0,3.0,0.0,6.0,37.0,70.0,13.0,0.0,129.0,15.38
2013,Cottonwood Heights PD,34238.0,0.0,7.0,5.0,25.0,147.0,673.0,62.0,1.0,920.0,26.87
2013,Draper PD,43395.0,0.0,4.0,7.0,23.0,194.0,846.0,57.0,3.0,1134.0,26.13
2013,Granite School District PD,0.0,0.0,0.0,0.0,3.0,9.0,122.0,4.0,6.0,144.0,
2013,Murray PD,48612.0,1.0,19.0,34.0,112.0,294.0,1953.0,177.0,3.0,2593.0,53.34
2013,Salt Lake City PD,191180.0,6.0,118.0,422.0,831.0,2005.0,11581.0,1698.0,33.0,16694.0,87.32
2013,Sandy PD,90231.0,1.0,15.0,29.0,73.0,568.0,2199.0,167.0,3.0,3055.0,33.86
2013,South Jordan PD,59366.0,0.0,3.0,5.0,15.0,186.0,1007.0,58.0,1.0,1275.0,21.48
2013,South Salt Lake PD,24702.0,2.0,36.0,45.0,117.0,204.0,1163.0,288.0,5.0,1860.0,75.3
2013,University of Utah PD,0.0,0.0,2.0,1.0,12.0,150.0,513.0,30.0,3.0,711.0,
2013,West Jordan PD,110077.0,0.0,18.0,19.0,160.0,359.0,2152.0,201.0,8.0,2917.0,26.5
2013,West Valley City PD,133579.0,5.0,82.0,156.0,442.0,1107.0,4586.0,795.0,12.0,7185.0,53.79
2012,Unified PD of Greater Salt Lake ~,270928.0,6.0,115.0,169.0,406.0,1638.0,7594.0,811.0,3.0,10742.0,39.65
2012,Alta Marshal,389.0,,,,,,,,,,0.0
2012,Bluffdale PD,7975.0,0.0,0.0,1.0,4.0,31.0,71.0,7.0,0.0,114.0,14.29
2012,Cottonwood Heights PD,34017.0,1.0,12.0,12.0,17.0,159.0,646.0,59.0,3.0,909.0,26.72
2012,Draper PD,42268.0,2.0,7.0,4.0,31.0,153.0,682.0,33.0,2.0,914.0,21.62
2012,Granite School District PD,0.0,0.0,1.0,0.0,8.0,10.0,151.0,1.0,11.0,182.0,
