column 1,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
1549,200 Block S 300 E,132895,SMITHFIELD,,,11/12/2013 09:04:01 PM,Tuesday,9,07/16/2013 09:47:00 AM,FRAUD / SCAM<br>INACTIVE,290521772,-FRAUD,41.8319308,"{'type': 'Point', 'coordinates': [-111.824292, 41.831931]}",-111.8242917,Theft,UT,07/15/2014 01:07:11 PM,84335.0
44,700 Block E 350 S,151248,SMITHFIELD,,,05/22/2015 01:07:34 PM,Thursday,15,05/21/2015 03:17:00 PM,ALARM / RESIDENTIAL ALARM<br>CLEARED,717774978,-ALARM,41.8290248,"{'type': 'Point', 'coordinates': [-111.8126936, 41.8290248]}",-111.8126936,Alarm,UT,05/19/2016 01:07:50 PM,84335.0
0,200 Block SUMMIT DR,151062,SMITHFIELD,,,05/06/2015 01:07:25 PM,Tuesday,10,05/05/2015 10:06:00 AM,"DOMESTIC/FAMILY INCIDENT / CUSTODIAL INTERFERENCE, FAMILY/DV<br>CLEARED",715047696,-DOMESTIC/FAMILY INCIDENT,41.8402723,"{'type': 'Point', 'coordinates': [-111.8159931, 41.8402723]}",-111.8159931,Family Offense,UT,05/03/2016 10:19:47 PM,84335.0
1,100 Block NORTH 800 WEST,151069,SMITHFIELD,,,05/07/2015 01:07:30 PM,Tuesday,14,05/05/2015 02:52:00 PM,"TRAFFIC CRASH / TRAFFIC ACCIDENT, VEHICLE DAMAGE<br>CLEARED",715139075,-TRAFFIC CRASH,41.8460814,"{'type': 'Point', 'coordinates': [-111.8538759, 41.8460814]}",-111.8538759,Traffic,UT,05/03/2016 10:19:48 PM,84335.0
2,200 Block SOUTH 300 EAST,151071,SMITHFIELD,,,05/07/2015 01:07:30 PM,Tuesday,20,05/05/2015 08:45:00 PM,CONTROLLED SUBSTANCE / OTHER CONTROLLED SUBSTANCES<br>CLEARED ADULT ARREST,715139076,-CONTROLLED SUBSTANCE,41.8319388,"{'type': 'Point', 'coordinates': [-111.8242914, 41.8319388]}",-111.8242914,Drugs,UT,05/03/2016 10:19:48 PM,84335.0
3,7000 Block NORTH US 91,151072,SMITHFIELD,,,05/07/2015 01:07:30 PM,Tuesday,21,05/05/2015 09:30:00 PM,ASSIST / ASSIST OTHER AGENCY<br>CLEARED ADULT ARREST,715139074,-ASSIST,41.8609794,"{'type': 'Point', 'coordinates': [-111.8303767, 41.8609794]}",-111.8303767,Other,UT,05/03/2016 10:19:48 PM,84335.0
4,200 Block NORTH MAIN STREET,151073,SMITHFIELD,,,05/08/2015 01:07:24 PM,Tuesday,23,05/05/2015 11:16:00 PM,ATL / VEHICLE<br>CLEARED,715487937,-ATL,41.8407564,"{'type': 'Point', 'coordinates': [-111.8325444, 41.8407564]}",-111.8325444,Missing Person,UT,05/03/2016 10:19:48 PM,84335.0
5,800 Block SOUTH MAIN,151059,SMITHFIELD,,,05/11/2015 01:07:17 PM,Sunday,6,05/10/2015 06:11:00 AM,ATL / VEHICLE<br>CLEARED,715687429,-ATL,41.8192984,"{'type': 'Point', 'coordinates': [-111.8316728, 41.8192984]}",-111.8316728,Missing Person,UT,05/08/2016 01:07:15 PM,84335.0
6,400 Block SOUTH 455 EAST,151116,SMITHFIELD,,,05/11/2015 01:07:17 PM,Sunday,11,05/10/2015 11:29:00 AM,"DOMESTIC/FAMILY INCIDENT / CHILD ABUSE, FAMILY<br>CLEARED ADULT ARREST",715687428,-DOMESTIC/FAMILY INCIDENT,41.8263255,"{'type': 'Point', 'coordinates': [-111.8193812, 41.8263255]}",-111.8193812,Family Offense,UT,05/08/2016 01:07:17 PM,84335.0
7,700 Block SOUTH 200 WEST,151117,RICHMOND,,,05/11/2015 01:07:17 PM,Sunday,14,05/10/2015 02:06:00 PM,ASSIST / ASSIST OTHER AGENCY<br>CLEARED,715687427,-ASSIST,41.9073915,"{'type': 'Point', 'coordinates': [-111.8146875, 41.9073915]}",-111.8146875,Other,UT,05/08/2016 01:07:18 PM,84333.0
8,1 Block EAST 100 NORTH,151083,SMITHFIELD,,,05/11/2015 01:07:17 PM,Sunday,21,05/10/2015 09:45:00 PM,ADMINISTRATION / INTRA CITY ASSIST<br>CLEARED,715687425,-ADMINISTRATION,41.8385604,"{'type': 'Point', 'coordinates': [-111.8308479, 41.8385604]}",-111.8308479,Other,UT,05/08/2016 01:07:16 PM,84335.0
