column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at
0,1600 Block S 2500 W,C1857588,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,0,02/10/2018 12:47:04 AM,Traffic Stop,833897173,CAD: Traffic Stop,41.0906,"{'type': 'Point', 'coordinates': [-112.074, 41.0906]}",-112.074,Vehicle Stop,UT,02/25/2018 06:38:51 AM
1,1100 Block W 1700 S,C1857600,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,1,02/10/2018 01:22:28 AM,Traffic Stop,833897172,CAD: Traffic Stop,41.0891,"{'type': 'Point', 'coordinates': [-112.048, 41.0891]}",-112.048,Vehicle Stop,UT,02/25/2018 06:38:51 AM
2,2400 Block W HIGHWAY 193,C1857604,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,1,02/10/2018 01:33:07 AM,Traffic Stop,833897171,CAD: Traffic Stop,41.1106,"{'type': 'Point', 'coordinates': [-112.072, 41.1106]}",-112.072,Vehicle Stop,UT,02/25/2018 06:38:51 AM
3,300 Block S 3000 W,C1857606,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,1,02/10/2018 01:39:09 AM,Warrant Service,833897170,CAD: Warrant Service,41.1093,"{'type': 'Point', 'coordinates': [-112.084, 41.1093]}",-112.084,Other,UT,02/25/2018 06:38:51 AM
4,1300 Block W WATERFRONT DR,C1857608,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,1,02/10/2018 01:40:24 AM,Susp Circumstance,833897169,CAD: Susp Circumstance,41.063,"{'type': 'Point', 'coordinates': [-112.052, 41.063]}",-112.052,Community Policing,UT,02/25/2018 06:38:51 AM
5,900 Block W 3150 S,C1857617,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,2,02/10/2018 02:42:17 AM,Traffic Stop,833897168,CAD: Traffic Stop,41.0684,"{'type': 'Point', 'coordinates': [-112.044, 41.0684]}",-112.044,Vehicle Stop,UT,02/25/2018 06:38:51 AM
6,2200 Block W 1700 S,C1857624,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,4,02/10/2018 04:00:19 AM,Traffic Stop,833897167,CAD: Traffic Stop,41.0892,"{'type': 'Point', 'coordinates': [-112.069, 41.0892]}",-112.069,Vehicle Stop,UT,02/25/2018 06:38:51 AM
7,1500 Block S 2000 W,C1857628,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,4,02/10/2018 04:41:39 AM,Traffic Stop,833897166,CAD: Traffic Stop,41.0921,"{'type': 'Point', 'coordinates': [-112.064, 41.0921]}",-112.064,Vehicle Stop,UT,02/25/2018 06:38:51 AM
8,2200 Block W 1700 S,C1857629,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,4,02/10/2018 04:48:16 AM,Walk Through Security Checks,833897165,CAD: Walk Through Security Checks,41.0892,"{'type': 'Point', 'coordinates': [-112.069, 41.0892]}",-112.069,Community Policing,UT,02/25/2018 06:38:51 AM
9,2300 Block S 1000 W,C1857649,SYRACUSE,,02/12/2018 03:10:37 AM,Saturday,7,02/10/2018 07:57:43 AM,Traffic Stop,833897164,CAD: Traffic Stop,41.0806,"{'type': 'Point', 'coordinates': [-112.045, 41.0806]}",-112.045,Vehicle Stop,UT,02/25/2018 06:38:51 AM
