incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
835508966,18UV00399,02/26/2018 06:02:38 AM,ALARM,Description: Alarm,,UVHGA,,UTAH VALLEY U,UT,,,40.2171,-111.717,03/01/2018 07:02:16 AM,03/12/2018 05:08:44 AM,POINT (-111.717 40.2171),6,Monday,Alarm
854130476,18UV00898,05/11/2018 08:05:41 AM,ALARM,Description: Alarm,,UVSTL,,UTAH VALLEY U,UT,,,40.2794,-111.715,05/14/2018 06:08:50 AM,05/24/2018 05:22:25 PM,POINT (-111.715 40.2794),8,Friday,Alarm
828179666,17UV02576,12/01/2017 08:12:49 AM,DISORDERLY CONDUCT,Description: Disorderly Conduct,,100 Block UVSC,,UTAH VALLEY U,UT,,,40.2788,-111.714,12/04/2017 11:09:38 AM,12/14/2017 11:27:50 AM,POINT (-111.714 40.2788),8,Friday,Disorder
731143186,15UV01379,09/17/2015 10:09:02 AM,CITIZEN ASSIST,Description: Citizen Assist,,300 Block UVGT,,UTAH VALLEY U,UT,,,40.2785,-111.71,09/20/2015 08:21:00 AM,09/30/2015 08:07:05 AM,POINT (-111.71 40.2785),10,Thursday,Community Policing
710457145,15UV00371,03/14/2015 05:03:02 PM,AGENCY ASSIST,Description: Agency Assist,,400 Block S 1200 WEST ST,,OREM,UT,,,40.2899,-111.724,03/20/2015 09:40:28 PM,03/27/2015 09:10:41 AM,POINT (-111.724 40.2899),17,Saturday,Community Policing
764652753,16UV01027,05/25/2016 07:05:51 PM,ASSAULT-SIMPLE,Description: Assault-Simple,,UVEC,,UTAH VALLEY U,UT,,,40.2786,-111.717,07/11/2016 01:45:09 PM,07/11/2016 04:00:59 PM,POINT (-111.717 40.2786),19,Wednesday,Assault
739570993,15UV01850,12/02/2015 08:12:55 AM,TRAFFIC ACCIDENT-REPORTABLE,Description: Traffic Accident-Reportable,,800 Block S COLLEGE DR,,OREM,UT,,,40.2824,-111.724,12/08/2015 06:46:51 AM,12/12/2015 09:04:26 AM,POINT (-111.724 40.2824),8,Wednesday,Traffic
82017343,11UV01374,09/10/2011 12:09:31 AM,TRAFFIC OFFENSE,Description: Traffic Offense,,400 Block W 1200 SOUTH ST,,OREM,UT,,,40.2753507484,-111.7068467,09/22/2011 08:04:52 AM,09/22/2011 08:06:05 AM,POINT (-111.706847 40.275351),0,Saturday,Traffic
835126769,18UV00379,02/22/2018 09:02:22 PM,WARRANT SERVED FOR OTHER AGENC,Description: Warrant Served For Other Agenc,,800 Block W 800 SOUTH ST,,OREM,UT,,,40.2827,-111.716,02/25/2018 07:53:45 AM,03/08/2018 06:34:00 AM,POINT (-111.716 40.2827),21,Thursday,Community Policing
738777072,15UV01823,11/26/2015 09:11:42 PM,ALARM,Description: Alarm,,UVHGA,,UTAH VALLEY U,UT,,,40.2171,-111.717,11/29/2015 06:47:47 AM,12/08/2015 09:04:34 AM,POINT (-111.717 40.2171),21,Thursday,Alarm
443833848,14UV00684,05/15/2014 10:05:45 PM,CS-POSS-MARIJUANA,Description: CS-Poss-Marijuana,,600 Block W UNIVERSITY PKWY,,OREM,UT,,,40.2743,-111.709,05/20/2014 08:14:31 AM,05/24/2014 08:19:26 AM,POINT (-111.709 40.2743),22,Thursday,Drugs
724809206,15UV01019,07/17/2015 12:07:17 AM,TRAFFIC OFFENSE,Description: Traffic Offense,,1100 Block W 800 SOUTH ST,,OREM,UT,,,40.2825,-111.723,07/22/2015 08:20:54 AM,07/30/2015 08:16:15 AM,POINT (-111.723 40.2825),0,Friday,Traffic
753184318,16UV00522,03/13/2016 04:03:47 PM,AGENCY ASSIST,Description: Agency Assist,,1300 Block S SANDHILL RD,,OREM,UT,,,40.2721,-111.712,03/19/2016 05:37:01 AM,03/26/2016 08:08:49 AM,POINT (-111.712 40.2721),16,Sunday,Community Policing
751760455,16UV00464,03/02/2016 12:03:21 PM,THEFT-PROPERTY-OTHER,Description: Theft-Property-Other,,1 Block UVMH,,UTAH VALLEY U,UT,,,40.2845,-111.724,03/05/2016 06:29:26 AM,03/14/2016 08:04:57 AM,POINT (-111.724 40.2845),12,Wednesday,Theft
827011860,17UV02482,11/16/2017 11:11:14 PM,CS-POSS-MARIJUANA,Description: CS-Poss-Marijuana,,UVLA,,UTAH VALLEY U,UT,,,40.2802,-111.717,11/19/2017 11:09:44 AM,11/29/2017 11:10:28 AM,POINT (-111.717 40.2802),23,Thursday,Drugs
721785366,15UV00844,06/16/2015 09:06:48 PM,AGENCY ASSIST,Description: Agency Assist,,1300 Block W UNIVERSITY PKWY,,OREM,UT,,,40.2751,-111.727,06/21/2015 08:10:04 AM,06/27/2015 08:15:57 AM,POINT (-111.727 40.2751),21,Tuesday,Community Policing
61832877,11UV00491,03/29/2011 10:03:54 PM,TRAFFIC ACCIDENT-REPORTABLE,Description: TRAFFIC ACCIDENT-REPORTABLE,,1 Block LTBB,,UTAH VALLEY U,UT,,,40.2769307484,-111.7186467,04/06/2011 02:15:59 AM,06/14/2011 08:32:55 AM,POINT (-111.718647 40.276931),22,Tuesday,Traffic
